threshold,precision,recall,f1,fpr,tp,fp,fn,tn,alerts_pct
0.05,0.0066,0.9176,0.0131,0.133,1725,259494,155,1691945,13.37
0.1,0.0321,0.4176,0.0596,0.0121,785,23666,1095,1927773,1.25
0.15,0.0072,0.0303,0.0116,0.004,57,7879,1823,1943560,0.41
0.2,0.005,0.0165,0.0077,0.0032,31,6151,1849,1945288,0.32
0.25,0.0057,0.016,0.0084,0.0027,30,5237,1850,1946202,0.27
0.3,0.0036,0.009,0.0051,0.0024,17,4746,1863,1946693,0.24
0.35,0.003,0.0069,0.0042,0.0022,13,4361,1867,1947078,0.22
0.4,0.002,0.0043,0.0027,0.002,8,3982,1872,1947457,0.2
0.45,0.0019,0.0037,0.0025,0.0019,7,3731,1873,1947708,0.19
0.5,0.0014,0.0027,0.0019,0.0018,5,3511,1875,1947928,0.18
0.55,0.0,0.0,0.0,0.0017,0,3333,1880,1948106,0.17
0.6,0.0,0.0,0.0,0.0016,0,3099,1880,1948340,0.16
0.65,0.0,0.0,0.0,0.0015,0,2871,1880,1948568,0.15
0.7,0.0,0.0,0.0,0.0014,0,2694,1880,1948745,0.14
0.75,0.0,0.0,0.0,0.0012,0,2428,1880,1949011,0.12
0.8,0.0,0.0,0.0,0.0008,0,1470,1880,1949969,0.08
0.85,0.0,0.0,0.0,0.0004,0,827,1880,1950612,0.04
0.9,0.0,0.0,0.0,0.0002,0,367,1880,1951072,0.02
0.95,0.0,0.0,0.0,0.0,0,0,1880,1951439,0.0
